"Author","Entry","HasMultipleAuthors","HasEntry","Placement","Compo"
"Jetro Laine","Metsätie","false","true","I","Grafiikka"
"Gotsy","Sateenkaaren hajuiset lanisessiot","false","true","II","Grafiikka"
"Paavo Nelimarkka","Ukko","false","true","III","Grafiikka"
"Rage Manifesto","My Little Progress","false","true","I","Instanssidemo"
"Kahvikello","Antimateriaalikaasuvuoto","false","true","II","Instanssidemo"
"Experimental Graphics Research Group","Study 1: Applications of Rectangular Depth","false","true","III","Instanssidemo"
"Laser Berger",1984,"false","true","I","Musiikki"
"Åkelund Techmasters","Uguu kawaii xD","false","true","II","Musiikki"
"Shiva Thrill","Nero-Niko","false","true","III","Musiikki"
"The Old Dude","Kiekkous","false","true","I","Pikkiriikkinen demo"
"Korjaaja","jsprtkls","false","true","II","Pikkiriikkinen demo"
"The Old Dude","Synti2 protoslime","false","true","I","Summamutikka"
"Madu","Sukupolvien välinen kuilu","false","true","II","Summamutikka"
"Logio","Köyhän Instanssikävijän salamavalo","false","true","III","Summamutikka"
"Simo Rinne, Aleksi Pekkala, Jarkko Saltiola","Polttopallo","true","true","I","Pelinkehitys"
"Yaamboo","ValoPong","false","true","II","Pelinkehitys"
"JuhoAP","Flying Spacecat","false","true","III","Pelinkehitys"
"Heikki","Pomeroni 2.0","false","true","I","Robocode"
"Hoff Alliance","DeadHorseSix","false","true","II","Robocode"
"AirZero","Vihollinen kello kahdessatoista","false","true","III","Robocode"
"Ziticca",,"false","false","I","Pelaamiskompo"
"AirZero",,"false","false","II","Pelaamiskompo"
"MakeDX",,"false","false","III","Pelaamiskompo"
